Question,Answer
What is your return policy?,"You can return items within 30 days with a valid receipt."
How do I reset my password?,"Click 'Forgot Password' on the login screen and follow the instructions."
Do you have 24/7 customer support?,"Yes, we offer round-the-clock support via chat and email."
Where is your company located?,"We are headquartered in New York, USA."
What payment methods are accepted?,"We accept credit/debit cards, PayPal, and net banking."
How long does shipping take?,"Shipping usually takes 5-7 business days."
Can I track my order?,"Yes, you will receive a tracking link once your order is shipped."
Do you ship internationally?,"Yes, we ship to most countries worldwide."
Is there a warranty on products?,"Yes, all products come with a 1-year warranty."
What are your customer care hours?,"Our customer care is available 24/7 for your convenience."
Can I cancel my order?,"Yes, orders can be canceled within 12 hours of placement."
How do I contact support?,"You can email us or chat live through our website."
Do you offer student discounts?,"Yes, we offer 10% discount for students with valid ID."
Are the products eco-friendly?,"Yes, we use recyclable packaging and eco-conscious materials."
How do I change my delivery address?,"You can change it from your account settings before the order is shipped."
Is cash on delivery available?,"Currently, we do not support COD; we accept prepaid methods only."
How do I apply a promo code?,"You can apply a promo code during checkout on the payment screen."
What happens if my order is late?,"We’ll update you via email and may offer compensation if it’s delayed."
Do you offer gift wrapping?,"Yes, you can choose gift wrapping during checkout."
Can I return an item after use?,"Returns are accepted only if the product is unused and in original condition."
Hi,"Hello! 😊 How can I help you today?"
Hello,"Hi there! Welcome to our support. What would you like to know?"
Hey,"Hey! Ready to assist you. What's your question?"
Good morning,"Good morning! ☀️ How can I make your day better?"
Good afternoon,"Good afternoon! What brings you here today?"
Good evening,"Good evening! 🌙 How can I assist you tonight?"
Thanks,"You're welcome! Is there anything else I can help with?"
Thank you,"My pleasure! 😊 Let me know if you need anything else."
Bye,"Goodbye! Have a wonderful day!"
See you later,"See you soon! Come back if you have more questions."
What can you do?,"I can answer questions about returns, orders, shipping, and more! Just ask."
Who are you?,"I'm your friendly FAQ assistant here to help with any questions!"
How does this work?,"Just type your question naturally, and I'll find the best answer for you!"
Are you a bot?,"Yes! I'm an AI assistant trained to help with your questions. But I'm the friendly kind 😊"
What's your name?,"You can call me BotBuddy! How can I assist you today?"
Help,"I can help with order tracking, returns, policies, and more. What do you need?"
I need help,"I'm here to assist! Please tell me what you need help with."
What products do you sell?,"We offer a wide range of products. Could you specify what category you're interested in?"
Do you have a mobile app?,"Yes! Our app is available on both iOS and Android stores."
How do I create an account?,"Click 'Sign Up' on our website and follow the simple registration process."
What's your most popular product?,"Our bestseller is the UltraWidget Pro. Would you like details about it?"
Can I speak to a human?,"Of course! Type 'human' and I'll connect you to our live support team."
human,"Connecting you to a live agent now... (Or you can email support@example.com)"
What's new?,"We just launched our summer collection! Would you like to hear about it?"
Any special offers?,"We're currently running a 20% off sale on select items. Use code SUMMER20 at checkout!"
How do I unsubscribe from emails?,"You can unsubscribe via the link in any email or in your account settings."
Where's my order?,"Let me check! Please provide your order number or email address."
Why was my order canceled?,"Orders may be canceled for payment issues or item availability. Would you like details?"
What's your refund time?,"Refunds are processed within 5-7 business days after we receive your return."
Do you price match?,"Yes! We price match within 14 days of purchase. Submit a request with the competitor's details."
How do I check my order status?,"Log in to your account or use the tracking number from your confirmation email."
Can I change my order?,"You can modify orders within 1 hour of placement by contacting support immediately."
What's your privacy policy?,"We value your privacy. You can read our full policy at example.com/privacy"
